,0h,1·8h,3·6h,9·1h,10·9h,12·7h,14·5h,16·3h,18·1h,21·8h,29·0h,30·9h,32·7h,36·3h,38·1h,41·7h,43·6h,52·6h,54·4h,56·3h,70·8h,72·6h,74·4h,79·9h,83·5h,87·1h,94·4h,96·2h,98·0h
BV898_16080,149.6869478,67.80352796999999,84.50710314,11.13935832,9.381790776499999,32.808472035,91.85784485666666,83.1609813,21.8808758085,15.27148889,90.98270712333333,74.64329484000001,104.253139075,117.6789013,61.452771209999995,80.00232734,57.12002700199999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.247746666666664,0.0,0.0,0.0
BV898_16087,68.8215852,35.58428854,17.514130053333332,25.99183609,96.72337193499999,9.59297027,31.969956243333332,25.92030586,13.25573073,53.45021113,38.36819039666667,26.806004403333333,16.69171714,23.53578027,32.902714395000004,21.81881655,44.016222176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.26588005,0.0,0.0
BV898_16088,0.0,13.2174556525,13.437643188333332,0.0,33.77436112,0.0,2.4038923826666667,20.52024214,0.0,15.27148889,6.615780728,21.073242655666665,0.0,0.0,14.5090212665,36.36469425,36.567168702000004,0.0,0.0,87.44038155,0.0,0.0,0.0,140.1904433,0.0,31.57014096,39.68358951,0.0,21.27575506
BV898_16093,86.0269815,26.57499991666667,63.74137105666667,29.70495553,28.87184547,42.40144231,28.647511580333333,31.32036958,28.433835838500002,53.45021113,43.711915180000005,69.66128500666666,42.702912325,35.3036704,78.58280528,80.00232734,60.947487364000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.87343581,0.0,45.5909037
BV898_16100,0.0,7.112734157166667,8.851092456666667,0.0,0.0,34.66294172,8.72606579,15.12017842,0.0,404.6944557,25.67123039666667,16.716114892333334,44.85850962,11.76789013,292.33345245,909.1173561,997.0433361600001,0.0,108.235874365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.70908444
BV898_16105,12.04377741,17.213559039,11.924826958333334,0.0,12.89243505,23.215501765,13.533850556666666,65.88077739,41.334100785,83.99318892,21.507124756666666,24.203487440000004,5.633358495,23.53578027,66.60110211,7.272938849,19.979706735799997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BV898_16118,20.64647556,53.420119613333334,85.89315322333333,39.60660737,42.248595945,53.848882259999996,57.35025335666666,22.68026763,42.685823817000006,30.54297779,38.86479308333333,56.73261344666667,35.330673225,58.83945067,88.083793755,50.91057194,60.5208347406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.5909037
BV898_16119,101.5118382,94.96706372466667,179.38411363333333,100.2542249,126.74535945,108.33900825,132.81035484666668,171.7220263,54.734876965,129.8076556,137.43825700333332,98.88873888666667,159.336573965,117.6789013,81.67180384,29.0917554,12.79313425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BV898_16120,139.36371,111.68830444833333,97.96512102000001,77.97550826,54.05153548,72.26789889,76.82697961299999,75.60089209,30.286070105,53.45021113,86.08114700666668,153.11598963333333,104.46149743000001,70.60734081,74.932126295,152.7317158,67.326427072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.936717903,91.01714335,0.0
BV898_16122,282.1684993,298.7313433166667,517.1913659,293.3364359,167.60208405,118.37828058,137.56722486333334,56.1606627,103.47791482000001,152.7148889,461.4533188666666,280.8435654666667,158.43112675,117.6789013,146.681559305,276.3716763,170.9334114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.87343581,10.70789922,0.0
BV898_16124,0.0,15.538435729166666,24.489483250000003,69.3115629,13.07394624,71.18035312,28.45256538,46.440548,8.124633843,22.90723334,30.79208281,26.569739303333336,94.72530266999999,152.9825718,68.660434455,160.0046547,72.60327330599999,0.0,0.0,128.3459065,0.0,0.0,0.0,204.8937249,0.0,41.728858699999996,10.58229054,32.12369765,0.0
BV898_16125,311.417673,42.3175323895,118.61427429999999,51.98367218,28.085154185,37.60495717,34.027076452,34.56040781,41.18905534,38.17872223,48.669703379999994,105.79678687333335,27.95843413,70.60734081,19.18936645,36.36469425,52.082298910000006,232.9347561,0.0,0.0,0.0,0.0,0.0,118.6226828,0.0,37.4895424,74.07603376,10.70789922,100.2999881
BV898_16126,154.8485667,75.11847527016667,106.93998026000001,17.32789073,17.553221365,40.546972625,37.314499426666664,15.12017842,26.2962759055,45.81446668,44.10143185333333,43.57731691666667,50.07515142,58.83945067,83.73113620000001,80.00232734,69.07418068,277.3032811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.43581,15.87343581,0.0,0.0
BV898_16127,43.01349075,48.04327898166667,37.232007053333334,99.01651843,48.543411355,67.471413755,84.74242506333333,64.80076465,47.466220140000004,53.45021113,50.91673539666667,19.040410136666665,3.686119548,23.53578027,37.817052436500006,36.36469425,36.996279537999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.45572634,0.0,0.0
BV898_16145,91.18860039,117.04386626833332,94.60010421,299.5249683,462.7387891,1292.303913,817.1382109666666,14.04016567,5.987073905,106.9004223,182.6304513,99.64309167666666,149.945082095,129.4467915,63.980089315,167.2775935,50.11134052,0.0,0.0,0.0,0.0,0.0,0.0,183.3259643,0.0,239.01807446666666,87.30389693,91.01714335,63.82726518
BV898_16150,25.80809445,16.143793257333332,10.922074593333333,0.0,36.61960716,38.371881085,61.58835111,1.080012744,0.0,22.90723334,15.333508686666667,22.96696432,59.81134616,0.0,55.181079385,123.6399604,47.244253879999995,0.0,85.5222969,135.13513515,0.0,0.0,29.41747516,0.0,144.3626389,161.79697243333334,171.9622212,214.1579843,124.6151368
BV898_16158,1751.509343,1709.5184792500002,908.0032991666667,719.1074651,515.69697365,56.0239738,80.87050186666666,84.24099404,50.88059775,30.54297779,638.6349992666666,348.7996028333334,99.244855645,0.0,153.32754211499997,29.0917554,8.4806036724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.353949609,0.0
